Time (s),Altitude (m)
50.588600000000454,71.07650000000012
50.688600000000456,70.57650000000012
50.78860000000046,70.07650000000012
50.88860000000046,69.57650000000012
50.98860000000046,69.07650000000012
51.08860000000046,68.57650000000012
51.18860000000046,68.07650000000012
51.288600000000464,67.57650000000012
51.388600000000466,67.07650000000012
51.48860000000047,66.57650000000012
51.58860000000047,66.07650000000012
51.68860000000047,65.57650000000012
51.78860000000047,65.07650000000012
51.88860000000047,64.57650000000012
51.988600000000474,64.07650000000012
52.088600000000476,63.576500000000124
52.18860000000048,63.076500000000124
52.28860000000048,62.576500000000124
52.38860000000048,62.076500000000124
52.48860000000048,61.576500000000124
52.58860000000048,61.076500000000124
52.688600000000484,60.576500000000124
52.788600000000486,60.076500000000124
52.88860000000049,59.576500000000124
52.98860000000049,59.076500000000124
53.08860000000049,58.576500000000124
53.18860000000049,58.076500000000124
53.28860000000049,57.576500000000124
53.388600000000494,57.076500000000124
53.488600000000496,56.576500000000124
53.5886000000005,56.076500000000124
53.6886000000005,55.576500000000124
53.7886000000005,55.076500000000124
53.8886000000005,54.576500000000124
53.9886000000005,54.076500000000124
54.088600000000504,53.576500000000124
54.188600000000505,53.076500000000124
54.28860000000051,52.576500000000124
54.38860000000051,52.076500000000124
54.48860000000051,51.576500000000124
54.58860000000051,51.076500000000124
54.68860000000051,50.576500000000124
54.788600000000514,50.076500000000124
54.888600000000515,49.576500000000124
54.98860000000052,49.076500000000124
55.08860000000052,48.576500000000124
55.18860000000052,48.076500000000124
55.28860000000052,47.576500000000124
55.38860000000052,47.076500000000124
55.488600000000524,46.576500000000124
55.588600000000525,46.076500000000124
55.68860000000053,45.576500000000124
55.78860000000053,45.076500000000124
55.88860000000053,44.576500000000124
55.98860000000053,44.076500000000124
56.08860000000053,43.576500000000124
56.188600000000534,43.076500000000124
56.288600000000535,42.576500000000124
56.38860000000054,42.076500000000124
56.48860000000054,41.576500000000124
56.58860000000054,41.076500000000124
56.68860000000054,40.576500000000124
56.78860000000054,40.076500000000124
56.888600000000544,39.576500000000124
56.988600000000545,39.076500000000124
57.08860000000055,38.576500000000124
57.18860000000055,38.076500000000124
57.28860000000055,37.576500000000124
57.38860000000055,37.076500000000124
57.48860000000055,36.576500000000124
57.588600000000554,36.076500000000124
57.688600000000555,35.576500000000124
57.78860000000056,35.076500000000124
57.88860000000056,34.576500000000124
57.98860000000056,34.076500000000124
58.08860000000056,33.576500000000124
58.18860000000056,33.076500000000124
58.288600000000564,32.576500000000124
58.388600000000565,32.076500000000124
58.48860000000057,31.576500000000124
58.58860000000057,31.076500000000124
58.68860000000057,30.576500000000124
58.78860000000057,30.076500000000124
58.88860000000057,29.576500000000124
58.988600000000574,29.076500000000124
59.088600000000575,28.576500000000124
59.18860000000058,28.076500000000124
59.28860000000058,27.576500000000124
59.38860000000058,27.076500000000124
59.48860000000058,26.576500000000124
59.58860000000058,26.076500000000124
59.688600000000584,25.576500000000124
59.788600000000585,25.076500000000124
59.88860000000059,24.576500000000124
59.98860000000059,24.076500000000124
60.08860000000059,23.576500000000124
60.18860000000059,23.076500000000124
60.28860000000059,22.576500000000124
60.388600000000594,22.076500000000124
60.488600000000595,21.576500000000124
60.588600000000596,21.076500000000124
60.6886000000006,20.576500000000124
60.7886000000006,20.076500000000124
60.8886000000006,19.576500000000124
60.9886000000006,19.076500000000124
61.0886000000006,18.576500000000124
61.188600000000605,18.076500000000124
61.288600000000606,17.576500000000124
61.38860000000061,17.076500000000124
61.48860000000061,16.576500000000124
61.58860000000061,16.076500000000124
61.68860000000061,15.576500000000124
61.78860000000061,15.076500000000124
61.888600000000615,14.576500000000124
61.988600000000616,14.076500000000124
62.08860000000062,13.576500000000124
62.18860000000062,13.076500000000124
62.28860000000062,12.576500000000124
62.38860000000062,12.076500000000124
62.48860000000062,11.576500000000124
62.588600000000625,11.076500000000124
62.688600000000626,10.576500000000124
62.78860000000063,10.076500000000124
62.88860000000063,9.576500000000124
62.98860000000063,9.076500000000124
63.08860000000063,8.576500000000124
63.18860000000063,8.076500000000124
63.288600000000635,7.576500000000124
63.388600000000636,7.076500000000124
63.48860000000064,6.576500000000124
63.58860000000064,6.076500000000124
63.68860000000064,5.576500000000124
63.78860000000064,5.076500000000124
63.88860000000064,4.576500000000124
63.988600000000645,4.076500000000124
64.08860000000064,3.5765000000001237
64.18860000000063,3.0765000000001237
64.28860000000063,2.5765000000001237
64.38860000000062,2.0765000000001237
64.48860000000062,1.5765000000001237
64.58860000000061,1.0765000000001237
64.6886000000006,0.5765000000001237
64.7886000000006,0.07650000000012369
